iter	Passed	Remaining
0	58	58469
1	58	29337
2	59	19613
3	59	14748
4	59	11832
5	59	9889
6	59	8497
7	60	7455
8	60	6643
9	60	5993
10	60	5461
11	60	5017
12	61	4642
13	61	4320
14	61	4041
15	61	3796
16	61	3580
17	62	3390
18	62	3219
19	62	3065
20	62	2926
21	62	2799
22	63	2684
23	63	2578
24	63	2481
25	63	2390
26	64	2307
27	64	2229
28	64	2156
29	64	2089
30	64	2025
31	64	1965
32	65	1910
33	65	1857
34	65	1807
35	65	1761
36	65	1717
37	66	1676
38	66	1636
39	66	1598
40	66	1562
41	67	1528
42	67	1496
43	67	1465
44	67	1435
45	67	1406
46	68	1379
47	68	1352
48	68	1327
49	68	1303
50	68	1280
51	68	1257
52	69	1236
53	69	1215
54	69	1195
55	69	1176
56	69	1157
57	70	1139
58	70	1122
59	70	1105
60	70	1089
61	70	1073
62	71	1058
63	71	1043
64	71	1030
65	71	1016
66	72	1002
67	72	989
68	72	977
69	72	964
70	72	952
71	72	940
72	73	928
73	73	917
74	73	907
75	73	896
76	73	886
77	74	876
78	74	865
79	74	856
80	74	846
81	74	837
82	74	827
83	75	818
84	75	810
85	75	801
86	75	793
87	75	785
88	75	777
89	76	770
90	76	762
91	76	755
92	76	748
93	76	741
94	77	734
95	77	727
96	77	721
97	77	714
98	77	708
99	78	703
100	78	696
101	78	691
102	78	685
103	78	679
104	79	673
105	79	668
106	79	662
107	79	657
108	79	652
109	79	647
110	80	642
111	80	636
112	80	631
113	80	627
114	80	622
115	81	617
116	81	612
117	81	608
118	81	603
119	81	599
120	81	595
121	82	590
122	82	586
123	82	582
124	82	578
125	82	574
126	82	570
127	83	566
128	83	562
129	83	558
130	83	555
131	83	551
132	84	547
133	84	544
134	84	540
135	84	537
136	84	534
137	84	530
138	85	527
139	85	524
140	85	521
141	85	517
142	85	514
143	85	511
144	86	508
145	86	505
146	86	502
147	86	499
148	87	497
149	87	494
150	87	492
151	87	489
152	87	486
153	88	483
154	88	480
155	88	478
156	88	475
157	88	473
158	88	470
159	89	468
160	89	465
161	89	462
162	89	460
163	89	458
164	90	455
165	90	453
166	90	450
167	90	448
168	90	446
169	90	444
170	91	441
171	91	439
172	91	437
173	91	435
174	91	433
175	92	430
176	92	428
177	92	426
178	92	424
179	92	422
180	92	420
181	93	418
182	93	416
183	93	414
184	93	412
185	93	410
186	94	409
187	94	407
188	94	405
189	94	403
190	94	401
191	94	399
192	95	397
193	95	396
194	95	394
195	95	392
196	95	391
197	96	389
198	96	387
199	96	385
200	96	384
201	96	382
202	97	381
203	97	379
204	97	377
205	97	376
206	97	374
207	97	372
208	98	371
209	98	369
210	98	368
211	98	366
212	98	365
213	99	363
214	99	362
215	99	360
216	99	359
217	99	357
218	99	356
219	100	355
220	100	353
221	100	352
222	100	351
223	100	349
224	101	348
225	101	346
226	101	345
227	101	344
228	101	342
229	102	341
230	102	340
231	102	339
232	102	338
233	103	337
234	103	336
235	103	334
236	103	333
237	103	332
238	103	331
239	104	329
240	104	328
241	104	327
242	104	326
243	104	325
244	105	324
245	105	322
246	105	321
247	105	320
248	105	319
249	106	318
250	106	317
251	106	315
252	106	314
253	106	313
254	106	312
255	107	311
256	107	310
257	107	309
258	107	308
259	107	307
260	108	306
261	108	304
262	108	303
263	108	302
264	108	301
265	109	300
266	109	299
267	109	298
268	109	297
269	109	296
270	110	295
271	110	294
272	110	293
273	110	292
274	110	292
275	110	291
276	111	290
277	111	289
278	111	288
279	111	287
280	111	286
281	112	285
282	112	284
283	112	283
284	112	282
285	112	281
286	112	280
287	113	279
288	113	278
289	113	278
290	113	277
291	113	276
292	114	275
293	114	274
294	114	273
295	114	272
296	114	271
297	115	271
298	115	270
299	115	269
300	115	268
301	115	267
302	115	266
303	116	265
304	116	265
305	116	264
306	116	263
307	116	262
308	117	261
309	117	261
310	117	260
311	117	259
312	117	258
313	118	258
314	118	257
315	118	256
316	118	255
317	118	255
318	119	254
319	119	253
320	119	252
321	119	252
322	119	251
323	120	250
324	120	249
325	120	249
326	120	248
327	120	247
328	121	247
329	121	246
330	121	245
331	121	244
332	121	244
333	122	243
334	122	242
335	122	241
336	122	241
337	122	240
338	122	239
339	123	238
340	123	238
341	123	237
342	123	236
343	123	236
344	124	235
345	124	234
346	124	234
347	124	233
348	124	232
349	124	232
350	125	231
351	125	230
352	125	229
353	125	229
354	125	228
355	126	227
356	126	227
357	126	226
358	126	225
359	126	225
360	126	224
361	127	224
362	127	223
363	127	222
364	127	222
365	127	221
366	127	220
367	128	220
368	128	219
369	128	219
370	128	218
371	129	217
372	129	217
373	129	216
374	129	216
375	129	215
376	129	214
377	130	214
378	130	213
379	130	212
380	130	212
381	130	211
382	131	211
383	131	210
384	131	209
385	131	209
386	131	208
387	131	208
388	132	207
389	132	207
390	132	206
391	132	206
392	133	205
393	133	205
394	133	204
395	133	204
396	134	203
397	134	203
398	134	202
399	134	202
400	134	201
401	135	201
402	135	200
403	135	199
404	135	199
405	135	198
406	136	198
407	136	197
408	136	197
409	136	196
410	136	196
411	137	195
412	137	195
413	137	194
414	137	194
415	138	193
416	138	193
417	138	192
418	138	192
419	138	191
420	139	191
421	139	190
422	139	190
423	139	189
424	139	189
425	140	188
426	140	188
427	140	187
428	140	187
429	140	186
430	141	186
431	141	185
432	141	185
433	141	184
434	141	184
435	142	183
436	142	183
437	142	182
438	142	182
439	142	181
440	143	181
441	143	181
442	143	180
443	143	180
444	144	179
445	144	179
446	144	178
447	144	178
448	145	178
449	145	177
450	145	177
451	145	176
452	145	176
453	146	175
454	146	175
455	146	174
456	146	174
457	147	173
458	147	173
459	147	173
460	147	172
461	147	172
462	148	171
463	148	171
464	148	170
465	148	170
466	149	170
467	149	169
468	149	169
469	149	168
470	149	168
471	150	167
472	150	167
473	150	166
474	150	166
475	150	166
476	151	165
477	151	165
478	151	164
479	151	164
480	151	163
481	152	163
482	152	162
483	152	162
484	152	162
485	152	161
486	153	161
487	153	160
488	153	160
489	153	160
490	154	159
491	154	159
492	154	158
493	154	158
494	154	158
495	155	157
