iter	Passed	Remaining
0	0	963
1	1	606
2	1	475
3	1	405
4	1	362
5	2	334
6	2	314
7	2	301
8	2	292
9	2	280
10	3	273
11	3	266
12	3	260
13	3	257
14	3	252
15	4	249
16	4	247
17	4	245
18	4	243
19	4	242
20	5	243
21	5	241
22	5	239
23	5	238
24	6	238
25	6	235
26	6	232
27	6	230
28	6	229
29	6	225
30	7	225
31	7	223
32	7	222
33	7	221
34	8	220
35	8	220
36	8	219
37	8	218
38	8	217
39	9	216
40	9	215
41	9	214
42	9	213
43	9	213
44	10	212
45	10	212
46	10	211
47	10	210
48	10	210
49	11	209
50	11	209
51	11	208
52	11	208
53	11	207
54	12	207
55	12	206
56	12	206
57	12	205
58	12	205
59	13	205
60	13	204
61	13	204
62	13	203
63	13	203
64	14	202
65	14	201
66	14	201
67	14	201
68	14	200
69	15	200
70	15	200
71	15	198
72	15	198
73	15	197
74	15	197
75	16	196
76	16	196
77	16	196
78	16	196
79	17	196
80	17	195
81	17	195
82	17	194
83	17	195
84	18	195
85	18	194
86	18	194
87	18	193
88	18	193
89	19	193
90	19	192
91	19	192
92	19	192
93	19	191
94	20	191
95	20	190
96	20	190
97	20	189
98	20	189
99	21	189
100	21	188
101	21	188
102	21	187
103	21	187
104	21	187
105	22	186
106	22	186
107	22	185
108	22	185
109	22	185
110	23	184
111	23	184
112	23	183
113	23	183
114	23	183
115	23	182
116	24	182
117	24	182
118	24	183
119	24	182
120	25	182
121	25	182
122	25	181
123	25	181
124	25	181
125	26	180
126	26	180
127	26	180
128	26	179
129	26	179
130	26	178
131	27	177
132	27	177
133	27	177
134	27	177
135	27	176
136	28	176
137	28	176
138	28	176
139	28	175
140	28	175
141	29	175
142	29	174
143	29	174
144	29	174
145	29	174
146	29	173
147	30	172
148	30	172
149	30	172
150	30	171
151	30	171
152	30	171
153	31	171
154	31	171
155	31	170
156	31	170
157	31	170
158	32	170
159	32	169
160	32	169
161	32	169
162	32	168
163	33	168
164	33	168
165	33	167
166	33	167
167	33	167
168	34	167
169	34	167
170	34	166
171	34	166
172	34	166
173	35	166
174	35	166
175	35	165
176	35	165
177	35	165
178	36	165
179	36	165
180	36	165
181	36	164
182	36	164
183	37	164
184	37	163
185	37	163
186	37	163
187	37	163
188	37	162
189	38	162
190	38	162
191	38	161
192	38	161
193	38	161
194	38	160
195	39	160
196	39	160
197	39	159
198	39	159
199	39	159
200	40	159
201	40	159
202	40	158
203	40	158
204	40	158
205	41	158
206	41	158
207	41	158
208	41	158
209	42	158
210	42	157
211	42	157
212	42	157
213	42	157
214	43	157
215	43	156
216	43	156
217	43	156
218	43	156
219	44	156
220	44	156
221	44	155
222	44	155
223	44	155
224	45	155
225	45	155
226	45	154
227	45	154
228	45	154
229	46	154
230	46	153
231	46	153
232	46	153
233	46	153
234	46	152
235	47	152
236	47	152
237	47	152
238	47	152
239	48	152
240	48	151
241	48	152
242	48	152
243	49	152
244	49	151
245	49	151
246	49	151
247	49	151
248	50	151
249	50	150
250	50	150
251	50	150
252	50	150
253	51	149
254	51	149
255	51	149
256	51	149
257	51	149
258	52	148
259	52	148
260	52	148
261	52	148
262	52	148
263	53	148
264	53	147
265	53	147
266	53	147
267	53	147
268	54	146
269	54	146
270	54	146
271	54	146
272	54	146
273	55	145
274	55	145
275	55	145
276	55	145
277	55	145
278	56	144
279	56	144
280	56	144
281	56	144
282	56	144
283	57	144
284	57	143
285	57	143
286	57	143
287	57	143
288	58	142
289	58	142
290	58	142
291	58	142
292	58	142
293	59	141
294	59	141
295	59	141
296	59	141
297	59	140
298	60	140
299	60	140
300	60	140
301	60	140
302	60	139
303	60	139
304	61	139
305	61	139
306	61	138
307	61	138
308	61	138
309	62	138
310	62	138
311	62	137
312	62	137
313	62	137
314	63	137
315	63	136
316	63	136
317	63	136
318	63	136
319	64	136
320	64	135
321	64	135
322	64	135
323	64	135
324	64	134
325	65	134
326	65	134
327	65	134
328	65	134
329	65	133
330	66	133
331	66	133
332	66	133
333	66	133
334	66	132
335	67	132
336	67	132
337	67	132
338	67	131
339	67	131
340	68	131
341	68	131
342	68	131
343	68	130
344	68	130
345	69	130
346	69	130
347	69	130
348	69	129
349	69	129
350	70	129
351	70	129
352	70	129
353	70	128
354	70	128
355	70	128
356	71	128
357	71	127
358	71	127
359	71	127
360	71	127
361	72	127
362	72	126
363	72	126
364	72	126
365	72	126
366	73	126
367	73	125
368	73	125
369	73	125
370	73	125
371	74	125
372	74	124
373	74	124
374	74	124
375	74	124
376	74	123
377	75	123
378	75	123
379	75	123
380	75	123
381	75	122
382	76	122
383	76	122
384	76	122
385	76	122
386	77	121
387	77	121
388	77	121
389	77	121
390	77	121
391	78	120
392	78	120
393	78	120
394	78	120
395	78	120
396	79	120
397	79	119
398	79	119
399	79	119
400	79	119
401	79	118
402	80	118
403	80	118
404	80	118
405	80	118
406	80	118
407	81	117
408	81	117
409	81	117
410	81	117
411	81	116
412	82	116
413	82	116
414	82	116
415	82	116
416	82	115
417	83	115
418	83	115
419	83	115
420	83	115
421	83	115
422	84	114
423	84	114
424	84	114
425	84	114
426	84	114
427	85	113
428	85	113
429	85	113
430	85	113
431	85	112
432	86	112
433	86	112
434	86	112
435	86	112
436	86	111
437	87	111
438	87	111
439	87	111
440	87	111
441	87	110
442	88	110
443	88	110
444	88	110
445	88	110
446	88	110
447	89	109
448	89	109
449	89	109
450	89	109
451	89	109
452	90	108
453	90	108
454	90	108
455	90	108
456	90	108
457	91	107
458	91	107
459	91	107
460	91	107
461	91	107
462	92	106
463	92	106
464	92	106
465	92	106
466	93	106
467	93	106
468	93	105
469	93	105
470	93	105
471	94	105
472	94	105
473	94	104
474	94	104
475	94	104
476	95	104
477	95	104
478	95	103
479	95	103
480	95	103
481	96	103
482	96	102
483	96	102
484	96	102
485	96	102
486	96	102
487	97	101
488	97	101
489	97	101
490	97	101
491	97	101
492	98	100
493	98	100
494	98	100
495	98	100
496	98	100
497	99	99
498	99	99
499	99	99
500	99	99
501	99	99
502	100	99
503	100	98
504	100	98
505	100	98
506	100	98
507	101	97
508	101	97
509	101	97
510	101	97
511	101	97
512	102	96
513	102	96
514	102	96
515	102	96
516	102	96
517	103	95
518	103	95
519	103	95
520	103	95
521	103	95
522	104	94
523	104	94
524	104	94
525	104	94
526	104	94
527	105	93
528	105	93
529	105	93
530	105	93
531	105	93
532	106	92
533	106	92
534	106	92
535	106	92
536	106	92
537	107	91
538	107	91
539	107	91
540	107	91
541	107	91
542	108	90
543	108	90
544	108	90
545	108	90
546	108	90
547	109	89
548	109	89
549	109	89
550	109	89
551	109	89
552	110	88
553	110	88
554	110	88
555	110	88
556	110	88
557	111	87
558	111	87
559	111	87
560	111	87
561	111	87
562	111	86
563	112	86
564	112	86
565	112	86
566	112	86
567	112	85
568	113	85
569	113	85
570	113	85
571	113	85
572	113	84
573	114	84
574	114	84
575	114	84
576	114	84
577	114	83
578	115	83
579	115	83
580	115	83
581	115	83
582	115	82
583	116	82
584	116	82
585	116	82
586	116	82
587	116	81
588	117	81
589	117	81
590	117	81
591	117	81
592	117	80
593	118	80
594	118	80
595	118	80
596	118	80
597	118	79
598	119	79
599	119	79
600	119	79
601	119	79
602	119	78
603	120	78
604	120	78
605	120	78
606	120	78
607	120	77
608	121	77
609	121	77
610	121	77
611	121	77
612	121	76
613	122	76
614	122	76
615	122	76
616	122	76
617	122	75
618	123	75
619	123	75
620	123	75
621	123	75
622	123	74
623	123	74
624	124	74
625	124	74
626	124	74
627	124	73
628	124	73
629	125	73
630	125	73
631	125	73
632	125	72
633	125	72
634	126	72
635	126	72
636	126	72
637	126	71
638	126	71
639	127	71
640	127	71
641	127	71
642	127	70
643	127	70
644	128	70
645	128	70
646	128	70
647	128	69
648	128	69
649	128	69
650	129	69
651	129	69
652	129	68
653	129	68
654	129	68
655	130	68
656	130	68
657	130	67
658	130	67
659	131	67
660	131	67
661	131	67
662	131	66
663	131	66
664	132	66
665	132	66
666	132	66
